Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",19300,"(+/- 2025 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5221,"(+/- 1172 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1657,"(+/- 615 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2107,"(+/- 659 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",142,"(+/- 3 )"
Housing,"Gross Rent","Occupied units paying rent",226277,"(+/- 8387 )"
Housing,"Gross Rent","Less than $500",119844,"(+/- 6272 )"
Housing,"Gross Rent","$500 to $999",89772,"(+/- 5170 )"
Housing,"Gross Rent","$1,000 to $1,499",12473,"(+/- 1801 )"
Housing,"Gross Rent","$1,500 to $1,999",1745,"(+/- 664 )"
Housing,"Gross Rent","$2,000 to $2,499",1361,"(+/- 682 )"
Housing,"Gross Rent","$2,500 to $2,999",504,"(+/- 291 )"
Housing,"Gross Rent","$3,000 or more",578,"(+/- 361 )"
Housing,"Gross Rent","Median (dollars)",482,"(+/- 11 )"
Housing,"Gross Rent","No rent paid",141245,"(+/- 5567 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Total households",1170982,"(+/- 9101 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Less than $10,000",314185,"(+/- 8721 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$10,000 to $14,999",137740,"(+/- 4083 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$15,000 to $24,999",217667,"(+/- 7349 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$25,000 to $34,999",146361,"(+/- 6886 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$35,000 to $49,999",134328,"(+/- 5506 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$50,000 to $74,999",113432,"(+/- 5519 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$75,000 to $99,999",49955,"(+/- 3546 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$100,000 to $149,999",33682,"(+/- 2945 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$150,000 to $199,000",10760,"(+/- 1659 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","$200,000 or more",12872,"(+/- 1654 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Median household income (dollars)",20474,"(+/- 382 )"
Socioeconomic,"Income and Benefits (In 2019 inflation-adjusted dollars)","Mean household income (dollars)",33055,"(+/- 713 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",3169528,"(+/- 931 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",2923463,"(+/- 11882 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",1217333,"(+/- 23151 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",1923517,"(+/- 19932 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",246065,"(+/- 11791 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",621761,"(+/- 3015 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",23639,"(+/- 3337 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",39.5,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",51.5,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",55.1,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",27.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",29.7,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",34.5,"(+/- 6.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",56.4,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",68.8,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",71.0,"(+/- 5.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",43.5,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",56.8,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",56.6,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",63.8,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",54.8,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",40.6,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",39.9,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",40.8,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",56.1,"(+/- 1.2 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",747920,"(+/- 8858 )"
Education,"School Enrollment","Nursery school, preschool",34961,"(+/- 3234 )"
Education,"School Enrollment",Kindergarten,26301,"(+/- 2954 )"
Education,"School Enrollment","Elementary school (grades 1-8)",279078,"(+/- 5096 )"
Education,"School Enrollment","High school (grades 9-12)",154094,"(+/- 5425 )"
Education,"School Enrollment","College or graduate school",253486,"(+/- 7708 )"
Education,"Educational Attainment","Population 25 years and over",2301735,"(+/- 2950 )"
Education,"Educational Attainment","Less than 9th grade",,"(+/- 9349 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",168325,"(+/- 6706 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",648146,"(+/- 11749 )"
Education,"Educational Attainment","Some college, no degree",279696,"(+/- 10129 )"
Education,"Educational Attainment","Associate's degree",258905,"(+/- 10642 )"
Education,"Educational Attainment","Bachelor's degree",443589,"(+/- 12354 )"
Education,"Educational Attainment","Graduate or professional degree",182991,"(+/- 8066 )"
Education,"Educational Attainment","Percent high school graduate or higher",78.8,"(+/- 0.4 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",27.2,"(+/- 0.6 )"

"The Census Bureau did not collect district boundaries for the 117th Congress, in keeping with the practice of not collecting the session which aligns with the decennial census. "
"American Community Survey and County Business Patterns for districts in North Carolina are not currently available.  Estimates for the 116th Congressional districts and state and local geographies are available at data.census.gov."

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",680204,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",36,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",504,G
Business,"Paid employees for pay period including March 12",Utilities,319,H
Business,"Paid employees for pay period including March 12",Construction,25176,G
Business,"Paid employees for pay period including March 12",Manufacturing,75007,G
Business,"Paid employees for pay period including March 12","Wholesale trade",29870,G
Business,"Paid employees for pay period including March 12","Retail trade",129569,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",16906,G
Business,"Paid employees for pay period including March 12",Information,17406,G
Business,"Paid employees for pay period including March 12","Finance and insurance",32329,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",11767,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",35094,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5063,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",81008,G
Business,"Paid employees for pay period including March 12","Educational services",35724,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",83642,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",3868,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",78980,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",17392,G
Business,"Paid employees for pay period including March 12","Industries not classified",544,J
Business,"Annual payroll ($1,000)","Total for all sectors",18589440,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",632,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",12316,G
Business,"Annual payroll ($1,000)",Utilities,21575,G
Business,"Annual payroll ($1,000)",Construction,620465,G
Business,"Annual payroll ($1,000)",Manufacturing,2980647,G
Business,"Annual payroll ($1,000)","Wholesale trade",1186860,G
Business,"Annual payroll ($1,000)","Retail trade",2552930,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",504532,G
Business,"Annual payroll ($1,000)",Information,791074,H
Business,"Annual payroll ($1,000)","Finance and insurance",1541279,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",318595,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1446463,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",289131,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",1669415,G
Business,"Annual payroll ($1,000)","Educational services",790035,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2225795,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",87271,G
Business,"Annual payroll ($1,000)","Accommodation and food services",1185596,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",344144,G
Business,"Annual payroll ($1,000)","Industries not classified",20685,G
Business,"Total Establishments","Total for all sectors",44748,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",6,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",38,X
Business,"Total Establishments",Utilities,31,X
Business,"Total Establishments",Construction,2089,X
Business,"Total Establishments",Manufacturing,1819,X
Business,"Total Establishments","Wholesale trade",1961,X
Business,"Total Establishments","Retail trade",9193,X
Business,"Total Establishments","Transportation and warehousing",1029,X
Business,"Total Establishments",Information,748,X
Business,"Total Establishments","Finance and insurance",1778,X
Business,"Total Establishments","Real estate and rental and leasing",1649,X
Business,"Total Establishments","Professional, scientific, and technical services",4682,X
Business,"Total Establishments","Management of companies and enterprises",105,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",2081,X
Business,"Total Establishments","Educational services",829,X
Business,"Total Establishments","Health care and social assistance",7582,X
Business,"Total Establishments","Arts, entertainment, and recreation",464,X
Business,"Total Establishments","Accommodation and food services",4991,X
Business,"Total Establishments","Other services (except public administration)",3275,X
Business,"Total Establishments","Industries not classified",398,X

"The Census Bureau did not collect district boundaries for the 117th Congress, in keeping with the practice of not collecting the session which aligns with the decennial census. "
"American Community Survey and County Business Patterns for districts in North Carolina are not currently available.  Estimates for the 116th Congressional districts and state and local geographies are available at data.census.gov."

"Source: 2019 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
